rank,stadium,seating_capacity,region,country,city,image,home_team,latitude,longitude
11,Wembley Stadium,90000,Europe,England,London England,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Post_L2_Play-Off_Final.jpg/150px-Post_L2_Play-Off_Final.jpg,['England national football team'],51.5560247,-0.2796177
12,Lusail Stadium,88966,West Asia,Qatar,Lusail,https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/Lusail_Stadium.jpg/150px-Lusail_Stadium.jpg,['Qatar national football team'],25.4208905,51.4907765
13,Bukit Jalil National Stadium,87411,Southeast Asia,Malaysia,Kuala Lumpur,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/National_Stadium_Bukit_Jalil_2018_AFF_Suzuki_Cup_final.png/150px-National_Stadium_Bukit_Jalil_2018_AFF_Suzuki_Cup_final.png,['Malaysia national football team[13]'],3.054486,101.6912206
14,Borg elArab Stadium,86000,Africa,Egypt,Alexandria,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Borg_el_arab_stadium.jpg/150px-Borg_el_arab_stadium.jpg,"['Egypt national football team', 'Al Ittihad', 'Smouha']",31.0000094,29.729524
15,Estadio Santiago Bernabu,85000,Europe,Spain,Madrid,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Estadio_Santiago_Bernab%C3%A9u_Madrid.jpg/150px-Estadio_Santiago_Bernab%C3%A9u_Madrid.jpg,['Real Madrid'],40.4530387,-3.6883337
16,Estadio Ms Monumental,84567,South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Estadio_Monumental.jpg/150px-Estadio_Monumental.jpg,"['Argentina national football team', 'River Plate']",-34.5452534,-58.4497577
17,Stadium Australia,83500,Oceania,Australia,Sydney New South Wales,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/State_of_Origin_Game_II_2018.jpg/150px-State_of_Origin_Game_II_2018.jpg,"['South Sydney Rabbitohs', 'Canterbury-Bankstown Bulldogs', 'New South Wales Blues', 'New South Wales Waratahs', ""Australia men's national soccer team"", 'Australia national rugby union team']",-33.8471156,151.0634135
18,MetLife Stadium,82500,North America,United States,East Rutherford New Jersey,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Copa_America_game_between_Columbia_vs_Peru_at_the_MetLife_Stadium.jpg/150px-Copa_America_game_between_Columbia_vs_Peru_at_the_MetLife_Stadium.jpg,"['New York Giants', 'New York Jets', ""United States men's national soccer team""]",40.8135064,-74.074457
19,Croke Park,82300,Europe,Ireland,Dublin,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Croke_park_all_ireland.jpg/150px-Croke_park_all_ireland.jpg,"['Gaelic Athletic Association', 'Dublin GAA']",53.3607478,-6.2511342
20,Jakarta International Stadium,82000,Southeast Asia,Indonesia,Jakarta,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Jakarta_International_Stadium_interior.jpg/150px-Jakarta_International_Stadium_interior.jpg,"['Persija Jakarta', 'Indonesia national football team']",-6.1251217,106.8600346
21,Lambeau Field,81441,North America,United States,Green Bay Wisconsin,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Lambeau_Field_bowl.jpg/150px-Lambeau_Field_bowl.jpg,['Green Bay Packers'],44.5013406,-88.0622083
22,SIGNAL IDUNA PARK,81365,Europe,Germany,Dortmund,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Signal_iduna_park.jpg/150px-Signal_iduna_park.jpg,['Borussia Dortmund'],51.4925888,7.4518574
